"Movie","Release Date","Distribution","Domestic","Inflation Domestic","International","Inflation International","Worldwide","Inflation Worldwide","Opening Weekend","Inflation Opening Weekend","Budget","Inflation Budget","Run Time","IMDb Score","Meta Score","Tomato Meter","Tomato Audience","Director","Franchise"
"The Texas Chainsaw Massacre III","1/12/1990","New Line Cinema","5,697,588","14,216,964","","","5,697,588","14,216,964","1,114,000","2,779,720","2,000,000","4,990,520","85","5","30","13","31","Jeff Burr","The Texas Chainsaw Massacre"
"Texas Chainsaw Massacre: The Next Generation","3/12/1995","Columbia Pictures","94,558","216,918","","","94,558","216,918","","","600,000","1,376,412","87","3.3","50","16","18","Kim Henkel","The Texas Chainsaw Massacre"
"The Texas Chainsaw Massacre (2003)","10/17/2003","New Line Cinema","80,571,655","140,694,584","27,395,664","47,838,431","107,967,319","188,533,015","28,094,014","49,057,893","9,000,000","15,715,840","98","6.2","38","37","58","Marcus Nispel","The Texas Chainsaw Massacre"
"The Texas Chainsaw Massacre: The Beginning","10/6/2006","New Line Cinema","39,517,763","63,530,080","11,000,000","17,683,969","50,517,763","81,214,049","18,508,228","29,754,448","16,000,000","25,722,136","91","5.8","30","15","53","Jonathan Liebesman","The Texas Chainsaw Massacre"
"Texas Chainsaw 3D","1/4/2013","Lionsgate","34,341,945","45,081,257","13,324,068","17,490,731","47,666,013","62,571,988","21,744,470","28,544,337","20,000,000","26,254,341","92","4.8","31","19","40","John Luessenhop","The Texas Chainsaw Massacre"
"Saw","10/29/2004","Lionsgate","55,968,727","94,571,815","47,911,300","80,956,971","103,880,027","175,528,786","18,276,468","30,882,224","1,200,000","2,027,671","103","7.6","46","50","84","James Wan","Saw"
"Saw II","10/28/2005","Lionsgate","87,025,093","142,959,703","65,900,000","108,256,643","152,925,093","251,216,346","31,725,652","52,117,035","5,000,000","8,213,706","93","6.6","40","37","59","Darren Lynn Bousman","Saw"
"Saw III","10/27/2006","Lionsgate","80,238,724","128,994,459","83,638,091","134,459,395","163,876,815","263,453,854","33,610,391","54,033,190","10,000,000","16,076,335","108","6.2","48","29","71","Darren Lynn Bousman","Saw"
"Saw IV","10/26/2007","Lionsgate","63,300,095","96,882,265","72,459,599","110,901,099","135,759,694","207,783,364","31,756,764","48,604,465","10,000,000","15,305,232","93","5.9","36","18","62","Darren Lynn Bousman","Saw"
"Saw V","10/24/2008","Lionsgate","56,746,769","83,223,329","61,463,009","90,140,043","118,209,778","173,363,372","30,053,954","44,076,344","10,800,000","15,838,998","92","5.8","20","13","52","David Hackl","Saw"
"Saw VI","10/23/2009","Lionsgate","27,693,292","38,881,383","42,059,110","59,050,992","69,752,402","97,932,375","14,118,444","19,822,296","11,000,000","15,444,000","90","6","30","39","48","Kevin Greutert","Saw"
"Saw: The Final Chapter","10/29/2010","Lionsgate","45,710,178","61,004,828","88,025,106","117,478,354","133,735,284","178,483,182","24,230,123","32,337,535","17,000,000","22,688,209","90","5.5","24","9","41","Kevin Greutert","Saw"
"Jigsaw","10/27/2017","Lionsgate","38,052,832","44,670,713","66,170,483","77,678,388","104,223,315","122,349,101","16,640,452","19,534,442","10,000,000","11,739,130","92","5.7","39","32","88","Peter Spierig, Michael Spierig","Saw"
"Spiral","5/14/2021","Lionsgate","23,216,862","23,507,077","16,302,726","16,506,513","39,519,588","40,013,590","8,750,034","8,859,411","20,000,000","20,250,004","93","5.2","40","37","75","Darren Lynn Bousman","Saw"
"Saw X","9/29/2023","Lionsgate","53,607,898","53,607,898","55,630,592","55,630,592","109,238,490","109,238,490","18,309,301","18,309,301","13,000,000","13,000,000","118","6.6","60","80","89","Kevin Greutert","Saw"
"Paranormal Activity","9/25/2009","Paramount Pictures","107,918,810","151,513,559","86,264,224","121,111,413","194,183,034","272,624,972","77,873","109,330","450,000","631,781","86","6.3","68","83","57","Oren Peli","Paranormal Activity"
"Paranormal Activity 2","10/22/2010","Paramount Pictures","84,752,907","113,110,670","92,759,125","123,795,716","177,512,032","236,906,386","40,678,424","54,289,156","3,000,000","4,003,780","91","5.7","53","57","48","Tod Williams","Paranormal Activity"
"Paranormal Activity 3","10/21/2011","Paramount Pictures","104,028,807","138,136,499","103,011,037","136,785,035","207,039,844","274,921,534","52,568,183","69,803,595","5,000,000","6,639,339","83","5.8","59","66","51","Henry Joost, Ariel Schulman","Paranormal Activity"
"Paranormal Activity 4","10/19/2012","Paramount Pictures","53,900,335","71,302,821","88,917,657","117,625,981","142,817,992","188,928,802","29,003,866","38,368,175","5,000,000","6,614,321","88","4.6","40","23","34","Henry Joost, Ariel Schulman","Paranormal Activity"
"Paranormal Activity: The Marked Ones","1/3/2014","Paramount Pictures","32,462,372","41,955,816","58,442,482","75,533,668","90,904,854","117,489,484","18,343,611","23,708,100","5,000,000","6,462,223","84","5","42","39","34","Christopher Landon","Paranormal Activity"
"Paranormal Activity: The Ghost Dimension","10/23/2015","Paramount Pictures","18,297,124","22,855,123","59,662,250","74,524,721","77,959,374","97,379,844","8,070,493","10,080,935","10,000,000","12,491,101","88","4.6","30","15","27","Gregory Plotkin","Paranormal Activity"
"Final Destination","3/17/2000","New Line Cinema","53,302,314","104,132,349","58,734,556","114,744,874","112,036,870","218,877,223","10,015,822","19,567,088","23,000,000","44,933,209","98","6.7","39","36","68","James Wong","Final Destination"
"Final Destination 2","1/31/2003","New Line Cinema","46,896,664","81,894,169","43,500,000","75,962,682","90,396,664","157,856,851","16,017,141","27,970,229","26,000,000","45,402,982","90","6.2","38","50","58","David R. Ellis","Final Destination"
"Final Destination 3","2/10/2006","New Line Cinema","54,098,051","86,969,839","58,700,000","94,368,086","112,798,051","181,337,925","19,173,094","30,823,308","25,000,000","40,190,837","93","5.8","43","43","57","James Wong","Final Destination"
"The Final Destination","8/28/2009","Warner Bros. Pictures","66,477,700","93,334,687","120,906,927","169,753,319","187,384,627","263,088,006","27,408,309","38,481,264","40,000,000","56,159,998","82","5.1","30","27","35","David R. Ellis","Final Destination"
